City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto lempira,15.2667,-83.7667,30.08,66,75,0.0,HN,1717950955
1,chibuto,-24.6867,33.5306,17.16,67,94,2.17,MZ,1717950955
2,imbituba,-28.24,-48.6703,24.4,57,24,5.6,BR,1717950956
3,port-aux-francais,-49.35,70.2167,6.72,98,100,17.72,TF,1717950872
4,tiksi,71.6872,128.8694,0.12,96,96,2.46,RU,1717950875
5,jinchang,38.4953,102.1739,22.7,24,82,2.39,CN,1717950956
6,talnakh,69.4865,88.3972,3.45,99,93,2.1,RU,1717950789
7,tura,25.5198,90.2201,25.84,92,1,3.31,IN,1717950883
8,puerto natales,-51.7236,-72.4875,-0.75,100,100,1.03,CL,1717950872
9,al jawf,29.5,38.75,34.69,10,0,4.84,SA,1717950956
10,ebon,4.582,168.6964,28.79,77,73,6.38,MH,1717950954
11,waitangi,-43.9535,-176.5597,13.23,87,100,5.36,NZ,1717950956
12,lompoc,34.6391,-120.4579,18.85,77,40,1.54,US,1717950957
13,puerto ayora,-0.7393,-90.3518,26.98,92,45,0.45,EC,1717950957
14,berezovyy,51.6667,135.7,12.18,99,100,1.51,RU,1717950882
15,yellowknife,62.456,-114.3525,11.34,69,75,4.63,CA,1717950957
16,ceres,37.5949,-120.9577,23.45,49,0,0.0,US,1717950957
17,margaret river,-33.95,115.0667,15.46,61,100,12.23,AU,1717950873
18,ceerigaabo,10.6162,47.368,23.12,48,21,9.02,SO,1717950957
19,udachny,66.4167,112.4,16.92,34,100,3.3,RU,1717950957
20,hawaiian paradise park,19.5933,-154.9731,21.69,86,40,0.0,US,1717950957
21,dawesville,30.9224,-84.0091,33.53,39,0,3.09,US,1717950958
22,adamstown,-25.066,-130.1015,22.26,73,27,6.1,PN,1717950874
23,aioun,16.6614,-9.6149,41.92,16,28,2.52,MR,1717950958
24,bethel,41.3712,-73.414,20.5,81,100,5.14,US,1717950875
25,revda,56.801,59.9303,11.43,99,100,1.91,RU,1717950958
26,constantia,44.1833,28.65,29.38,68,77,7.21,RO,1717950958
27,marat,25.0701,45.4615,36.56,8,3,4.72,SA,1717950843
28,baiyin,36.5583,104.2081,21.49,29,60,1.14,CN,1717950958
29,isafjordur,66.0755,-23.124,9.02,87,20,5.14,IS,1717950873
30,moranbah,-22.0016,148.0466,11.32,56,0,2.47,AU,1717950958
31,marka,1.7159,44.7717,25.85,82,62,8.43,SO,1717950959
32,hermanus,-34.4187,19.2345,13.78,76,6,4.02,ZA,1717950959
33,shahin dezh,36.6793,46.5669,24.25,20,5,3.21,IR,1717950959
34,grytviken,-54.2811,-36.5092,-4.92,76,21,6.91,GS,1717950872
35,laguna,38.421,-121.4238,23.51,60,0,4.12,US,1717950882
36,port alfred,-33.5906,26.891,16.28,65,0,2.55,ZA,1717950873
37,albany,42.6001,-73.9662,17.47,86,89,0.45,US,1717950916
38,ust-nera,64.5667,143.2,5.16,57,79,1.94,RU,1717950731
39,crane,31.3974,-102.3501,33.96,22,18,1.2,US,1717950947
40,hamilton,39.1834,-84.5333,24.53,56,0,3.6,US,1717950839
41,stanley,54.868,-1.6985,15.16,59,40,3.09,GB,1717950872
42,hoemul-li,41.4339,129.67,16.03,69,2,2.5,KP,1717950960
43,enewetak,11.3474,162.3373,28.3,82,100,7.19,MH,1717950960
44,vorgashor,67.5833,63.95,2.11,96,100,4.14,RU,1717950960
45,aasiaat,68.7098,-52.8699,1.3,98,100,1.44,GL,1717950960
46,bichena,10.45,38.2,21.96,28,84,2.05,ET,1717950960
47,salym,60.0625,71.4789,14.31,62,36,1.48,RU,1717950960
48,karratha,-20.7377,116.8463,20.05,73,0,1.93,AU,1717950897
49,ar rahad,12.7167,30.65,35.44,31,77,1.61,SD,1717950960
50,chonchi,-42.6128,-73.8092,10.56,82,93,3.1,CL,1717950704
51,ribeira grande,38.5167,-28.7,22.22,78,20,6.71,PT,1717950877
52,lagoa,39.05,-27.9833,18.75,79,8,4.85,PT,1717950961
53,haiku-pauwela,20.9219,-156.3051,23.91,79,20,4.63,US,1717950961
54,namtsy,62.7161,129.6658,10.8,49,0,2.73,RU,1717950790
55,avarua,-21.2078,-159.775,21.03,56,40,1.54,CK,1717950872
56,iqaluit,63.7506,-68.5145,4.85,52,100,5.14,CA,1717950961
57,phan rang-thap cham,11.5667,108.9833,26.07,88,99,2.63,VN,1717950961
58,rakovski,42.3,24.9667,33.05,44,23,2.88,BG,1717950961
59,bredasdorp,-34.5322,20.0403,11.02,89,5,2.4,ZA,1717950873
60,uturoa,-16.7333,-151.4333,26.96,79,92,4.83,PF,1717950956
61,punta arenas,-53.15,-70.9167,2.06,80,40,3.09,CL,1717950673
62,port nelson,23.6333,-74.8333,25.68,80,100,5.86,BS,1717950962
63,rio grande,-32.035,-52.0986,27.19,68,59,5.88,BR,1717950962
64,olonkinbyen,70.9221,-8.7187,-0.85,81,90,7.81,SJ,1717950962
65,cabo san lucas,22.8909,-109.9124,23.17,79,0,2.57,MX,1717950744
66,plettenberg bay,-34.0527,23.3716,13.12,78,0,1.89,ZA,1717950962
67,carnarvon,-24.8667,113.6333,20.74,87,100,1.77,AU,1717950880
68,sitka,57.0531,-135.33,9.94,87,75,2.57,US,1717950874
69,kapa'a,22.0752,-159.319,24.18,82,100,4.12,US,1717950943
70,huanggang,23.677,116.9996,24.94,92,100,0.97,CN,1717950963
71,tangalle,6.024,80.7911,25.98,91,98,4.7,LK,1717950963
72,kot sultan,30.7737,70.9313,32.58,25,80,2.98,PK,1717950963
73,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,63,75,6.26,RU,1717950951
74,kudahuvadhoo,2.6708,72.8944,28.95,74,98,3.72,MV,1717950961
75,karatuzskoye,53.6072,92.8667,16.88,89,100,3.58,RU,1717950963
76,sinabang,2.4803,96.3801,25.82,87,87,1.19,ID,1717950953
77,salmon arm,50.6998,-119.3024,20.8,58,100,0.51,CA,1717950963
78,sept-iles,50.2001,-66.3821,13.29,88,75,6.69,CA,1717950963
79,west island,-12.1568,96.8225,27.99,78,40,2.57,CC,1717950873
80,loboc,9.6383,124.0348,26.81,83,90,0.71,PH,1717950963
81,nemuro,43.3236,145.575,9.96,95,100,6.26,JP,1717950964
82,sao joao da barra,-21.6403,-41.0511,30.05,69,3,5.16,BR,1717950964
83,ciudad lazaro cardenas,17.9583,-102.2,29.59,57,19,4.8,MX,1717950670
84,kodiak,57.79,-152.4072,6.73,100,100,10.29,US,1717950877
85,longyearbyen,78.2186,15.6401,3.91,65,75,6.17,SJ,1717950873
